SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6061293,22.2538842,-97.8537645,Auto,2020,DICIEMBRE,15,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2538842,-97.8537645,AUTO,False
6061522,23.7293819,-99.1013555,Auto,2020,DICIEMBRE,18,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7293819,-99.1013555,AUTO,False
6062041,23.7388448,-99.1629139,Auto,2020,DICIEMBRE,11,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7388448,-99.1629139,AUTO,False
6062349,22.3009417,-97.8168214,Auto,2020,DICIEMBRE,13,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3009417,-97.8168214,AUTO,False
6061963,22.2169108,-97.8551394,CamiÃ³n Ligero,2020,DICIEMBRE,13,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2169108,-97.8551394,CAMIA3N LIGERO,False
6061870,22.3705718,-97.9027579,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.3705718,-97.9027579,AUTO,False
6062188,22.2608899,-97.8373722,Auto,2020,DICIEMBRE,16,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2608899,-97.8373722,AUTO,False
6062704,22.3224810,-97.8826549,Auto,2020,DICIEMBRE,22,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.322481,-97.8826549,AUTO,False
6062076,22.2672936,-97.8691442,Auto,2020,DICIEMBRE,0,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2672936,-97.8691442,AUTO,False
6062808,22.2572350,-97.8682499,Auto,2020,DICIEMBRE,1,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.257235,-97.8682499,AUTO,False
6062809,22.2572572,-97.8683280,Auto,2020,DICIEMBRE,1,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2572572,-97.868328,AUTO,False
6061983,22.2948708,-97.8790393,Auto,2020,DICIEMBRE,9,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2948708,-97.8790393,AUTO,False
6062730,22.2829042,-97.8728525,CamiÃ³n Ligero,2020,DICIEMBRE,11,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2829042,-97.8728525,CAMIA3N LIGERO,False
